PDDL domain,PDDL problem,LTLf goal,Cooperative moves counter
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee2.ltlf,6
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee3.ltlf,7
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee4.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee4.ltlf,8
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee5.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee5.ltlf,9
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee6.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee6.ltlf,10
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee7.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee7.ltlf,11
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee8.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee8.ltlf,12
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee9.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee9.ltlf,13
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee10.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee10.ltlf,14
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee11.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee11.ltlf,15
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee12.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee12.ltlf,16
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee13.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee13.ltlf,17
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee14.ltlf,18
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee15.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee15.ltlf,TIMEOUT
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee16.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_1/new_coffee16.ltlf,MEM
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee2.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee3.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee4.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee4.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee5.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee5.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee6.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee6.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee7.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee7.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee8.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee8.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee9.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee9.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee10.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee10.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee11.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee11.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee12.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee12.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee13.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee13.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee14.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee15.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee15.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/new_coffee16.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_2/coffee16.ltlf,1
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee2.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee2.ltlf,6
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee3.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee3.ltlf,7
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee4.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee4.ltlf,8
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee5.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee5.ltlf,9
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee6.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee6.ltlf,10
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee7.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee7.ltlf,11
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee8.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee8.ltlf,12
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee9.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee9.ltlf,13
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee10.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee10.ltlf,14
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee11.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee11.ltlf,15
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee12.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee12.ltlf,16
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee13.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee13.ltlf,17
../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/domain-fond.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/new_coffee14.pddl,../../Examples/fond/Benchmarks/non-deterministic/LTLf/BF23/robot_3/coffee14.ltlf,MEM
