PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p1.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p1.ltlf,0.236,0.006,0.212,0.454
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p2.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p2.ltlf,0.253,0.007,1.558,1.818
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p3.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p3.ltlf,0.255,0.026,3.453,3.734
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p4.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p4.ltlf,0.372,0.116,21.763,22.251
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p5.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p5.ltlf,0.348,0.297,48.862,49.507
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p6.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p6.ltlf,0.367,2.271,74.054,76.692
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p7.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p7.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p8.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p8.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p9.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p9.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p10.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p10.ltlf,MEM,MEM,MEM,MEM
