PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p1.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p1.ltlf,0.196,0.004,0.194,0.394
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p2.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p2.ltlf,0.244,0.01,1.667,1.921
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p3.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p3.ltlf,0.271,0.025,3.183,3.479
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p4.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p4.ltlf,0.296,0.058,15.073,15.427
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p5.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p5.ltlf,0.305,0.234,42.512,43.051
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p6.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p6.ltlf,0.322,1.965,105.709,107.996
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p7.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p7.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p8.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p8.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p9.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p9.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p10.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_1/new_p10.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/new_p1.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/new_new_p1.ltlf,0.113,0.002,0.168,0.283
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/new_p2.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/new_new_p2.ltlf,0.123,0.003,1.596,1.722
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/new_p3.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/new_new_p3.ltlf,0.14,0.004,3.632,3.776
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/new_p4.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_2/new_new_p4.ltlf,0.157,0.005,7.036,7.198
