PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p2.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p2.ltlf,0.124,0.002,0,0.126
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p3.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p3.ltlf,0.136,0.004,0.001,0.141
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p4.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p4.ltlf,0.165,0.003,0.008,0.176
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p5.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p5.ltlf,0.161,0.006,0.019,0.186
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p6.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p6.ltlf,0.203,0.004,0.057,0.264
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p7.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p7.ltlf,0.194,0.006,0.101,0.301
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p8.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p8.ltlf,0.272,0.005,0.298,0.575
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p9.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p9.ltlf,0.325,0.007,1.413,1.745
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p10.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p10.ltlf,0.31,0.008,1.425,1.743
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p11.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p11.ltlf,0.415,0.008,1.469,1.892
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/p2.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/tre_p2.ltlf,0.139,0.002,0,0.141
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/p3.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/tre_p3.ltlf,0.144,0.003,0.002,0.149
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/p4.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/tre_p4.ltlf,0.145,0.002,0.023,0.17
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/p5.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/tre_p5.ltlf,0.146,0.002,0.148,0.296
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/p6.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/tre_p6.ltlf,0.196,0.003,0.569,0.768
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/p7.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/tre_p7.ltlf,0.241,0.005,4.572,4.818
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/p8.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/tre_p8.ltlf,0.2,0.004,23.8,24.004
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/p9.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/tre_p9.ltlf,0.239,0.005,123.674,123.918
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/p10.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/tre_p10.ltlf,0.311,0.008,649.285,649.604
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/p11.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_2_new/tre_p11.ltlf,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/p2.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/new_p2.ltlf,0.118,0.001,0,0.119
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/p3.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/new_p3.ltlf,0.128,0.002,0,0.13
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/p4.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/new_p4.ltlf,0.139,0.002,0.012,0.153
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/p5.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/new_p5.ltlf,0.153,0.002,0.018,0.173
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/p6.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/new_p6.ltlf,0.221,0.003,0.154,0.378
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/p7.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/new_p7.ltlf,0.211,0.003,0.208,0.422
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/p8.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/new_p8.ltlf,0.325,0.002,0.324,0.651
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/p9.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/new_p9.ltlf,0.343,0.002,0.902,1.247
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/p10.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/new_p10.ltlf,0.377,0.003,2.608,2.988
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/p11.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_3_new/new_p11.ltlf,0.489,0.003,2.021,2.513
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/p2.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/tre_p2.ltlf,0.145,0.003,0,0.148
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/p3.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/tre_p3.ltlf,0.143,0.003,0.002,0.148
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/p4.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/tre_p4.ltlf,0.167,0.002,0.028,0.197
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/p5.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/tre_p5.ltlf,0.177,0.003,0.092,0.272
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/p6.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/tre_p6.ltlf,0.212,0.004,0.549,0.765
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/p7.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/tre_p7.ltlf,0.288,0.005,1.567,1.86
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/p8.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/tre_p8.ltlf,0.324,0.005,4.721,5.05
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/p9.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/tre_p9.ltlf,0.341,0.007,29.457,29.805
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/p10.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/tre_p10.ltlf,0.48,0.012,178.201,178.693
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/p11.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_4_new/tre_p11.ltlf,0.554,0.017,487.824,488.395



