PDDL domain,PDDL problem,LTLf goal,PDDL2DFA (s),LTLf2DFA (s),Synthesis (s),Runtime (s)
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p2.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p2.ltlf,0.118,0.002,0,0.12
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p3.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p3.ltlf,0.129,0.016,0.001,0.146
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p4.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p4.ltlf,0.153,0.003,0.007,0.163
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p5.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p5.ltlf,0.173,0.015,0.052,0.24
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p6.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p6.ltlf,0.212,0.004,0.144,0.36
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p7.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p7.ltlf,0.2,0.013,0.305,0.518
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p8.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p8.ltlf,0.234,0.013,1.134,1.381
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p9.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p9.ltlf,0.279,0.014,4.108,4.401
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p10.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p10.ltlf,0.328,0.015,4.885,5.228
../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/domain_triange.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/final_p11.pddl,../../Examples/fond/Benchmarks/TriangleTireWorld/tire_1_new/p11.ltlf,0.407,0.016,15.178,15.601
